family,tuning,variant,framing,rubric,n,box_rate,empty_box_only,never_boxed,abstain_unsure,abstain_marker,silent_no_box,silent_no_box_long,indeterminate,mixed,correct,incorrect,ungraded,abst_lenient,abst_rate_lenient,abst_strict,abst_rate_strict,sel_acc_lenient,sel_acc_strict,stem
Gemma-4-31B,base,no_conseq,ultra_cautious,,100,97.0,2,1,20,0,3,0,0,3,12,65,0,23,23.0,20,20.0,15.584415584415584,15.0,gemma-4-31b-ultra_cautious_basemodel_fs-no_conseq
Gemma-4-31B,base,no_conseq,QP4,,99,97.97979797979798,0,2,15,0,2,0,0,5,9,73,0,17,17.171717171717173,15,15.151515151515152,10.975609756097562,10.714285714285714,gemma-4-31b-QP4_basemodel_fs-no_conseq
Gemma-4-31B,base,no_conseq,QP7,,100,97.0,0,3,2,0,3,0,0,4,17,78,0,5,5.0,2,2.0,17.894736842105264,17.346938775510203,gemma-4-31b-QP7_basemodel_fs-no_conseq
Gemma-4-31B,base,no_conseq,r_0,"(1,0,0)",97,93.81443298969072,1,5,9,0,6,0,0,3,16,66,0,15,15.463917525773196,9,9.278350515463918,19.51219512195122,18.181818181818183,gemma-4-31b-quantitative_grading_basemodel_fs-no_conseq_r1_0_0
Gemma-4-31B,base,no_conseq,r_0.1,"(10,-1,0)",100,95.0,1,4,9,0,5,0,0,8,7,79,0,14,14.0,9,9.0,8.13953488372093,7.6923076923076925,gemma-4-31b-quantitative_grading_basemodel_fs-no_conseq_r10_-1_0
Gemma-4-31B,base,no_conseq,r_0.5,"(10,-5,0)",99,94.94949494949495,2,3,9,0,5,0,0,6,12,73,0,14,14.141414141414142,9,9.090909090909092,14.117647058823529,13.333333333333334,gemma-4-31b-quantitative_grading_basemodel_fs-no_conseq_r10_-5_0
Gemma-4-31B,base,no_conseq,r_1,"(1,-1,0)",100,90.0,3,7,9,0,10,0,0,6,10,71,0,19,19.0,9,9.0,12.345679012345679,10.989010989010989,gemma-4-31b-quantitative_grading_basemodel_fs-no_conseq_r1_-1_0
Gemma-4-31B,base,no_conseq,r_10,"(1,-10,0)",100,97.0,1,2,20,0,3,0,0,5,9,68,0,23,23.0,20,20.0,11.688311688311689,11.25,gemma-4-31b-quantitative_grading_basemodel_fs-no_conseq_r1_-10_0
Gemma-4-31B,base,no_conseq,r_abstain,"(-1,-10,10)",99,97.97979797979798,2,0,10,0,2,0,0,7,8,79,0,12,12.121212121212121,10,10.1010101010101,9.195402298850574,8.98876404494382,gemma-4-31b-quantitative_grading_basemodel_fs-no_conseq_r-1_-10_10
Gemma-4-31B,base,conseq_no_abstain,ultra_cautious,,100,100.0,0,0,9,0,0,0,0,0,15,76,0,9,9.0,9,9.0,16.483516483516482,16.483516483516482,gemma-4-31b-ultra_cautious_basemodel_fs-conseq_no_abstain
