cohort,model,intervention,setting,raw_bin,bin_label,n,correct,mean_confidence,candidate_accuracy,ci_low,ci_high
all_candidates,gemini-3.1-flash-lite-preview,2,Quant-100,9,90–100%,92,64,0.9885869565217391,0.6956521739130435,0.5953572670272532,0.78026305890446
all_candidates,gemini-3.1-flash-lite-preview,2,QP6,0,0–10%,1,0,0.05,0.0,0.0,0.7934506856227626
all_candidates,gemini-3.1-flash-lite-preview,2,QP6,1,10–20%,2,0,0.1,0.0,0.0,0.6576197724933469
all_candidates,gemini-3.1-flash-lite-preview,2,QP6,2,20–30%,1,1,0.2,1.0,0.20654931437723745,1.0
all_candidates,gemini-3.1-flash-lite-preview,2,QP6,3,30–40%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,2,QP6,4,40–50%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,2,QP6,5,50–60%,1,1,0.5,1.0,0.20654931437723745,1.0
all_candidates,gemini-3.1-flash-lite-preview,2,QP6,6,60–70%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,2,QP6,7,70–80%,1,0,0.7,0.0,0.0,0.7934506856227626
all_candidates,gemini-3.1-flash-lite-preview,2,QP6,8,80–90%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,2,QP6,9,90–100%,93,62,0.9849462365591397,0.6666666666666666,0.5659347000595181,0.7541761324032368
all_candidates,gemini-3.1-flash-lite-preview,2,QP7,0,0–10%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,2,QP7,1,10–20%,1,0,0.1,0.0,0.0,0.7934506856227626
all_candidates,gemini-3.1-flash-lite-preview,2,QP7,2,20–30%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,2,QP7,3,30–40%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,2,QP7,4,40–50%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,2,QP7,5,50–60%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,2,QP7,6,60–70%,1,0,0.6,0.0,0.0,0.7934506856227626
all_candidates,gemini-3.1-flash-lite-preview,2,QP7,7,70–80%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,2,QP7,8,80–90%,1,0,0.8,0.0,0.0,0.7934506856227626
all_candidates,gemini-3.1-flash-lite-preview,2,QP7,9,90–100%,97,62,0.9835051546391753,0.6391752577319587,0.5399919512124193,0.7277550678782961
all_candidates,gpt-5.4-nano,1,Quant-25,0,0–10%,2,0,0.05,0.0,0.0,0.6576197724933469
all_candidates,gpt-5.4-nano,1,Quant-25,1,10–20%,1,0,0.12,0.0,0.0,0.7934506856227626
all_candidates,gpt-5.4-nano,1,Quant-25,2,20–30%,4,0,0.2425,0.0,0.0,0.4898908364545973
all_candidates,gpt-5.4-nano,1,Quant-25,3,30–40%,15,2,0.34133333333333327,0.13333333333333333,0.03736125910306537,0.37881982832322364
all_candidates,gpt-5.4-nano,1,Quant-25,4,40–50%,4,0,0.4375,0.0,0.0,0.4898908364545973
all_candidates,gpt-5.4-nano,1,Quant-25,5,50–60%,1,0,0.55,0.0,0.0,0.7934506856227626
all_candidates,gpt-5.4-nano,1,Quant-25,6,60–70%,5,1,0.622,0.2,0.03622410863243014,0.6244653702374747
all_candidates,gpt-5.4-nano,1,Quant-25,7,70–80%,12,5,0.7433333333333333,0.4166666666666667,0.19326031365875665,0.6804886874504503
all_candidates,gpt-5.4-nano,1,Quant-25,8,80–90%,8,5,0.8587499999999999,0.625,0.30574239460262737,0.8631557141764026
all_candidates,gpt-5.4-nano,1,Quant-25,9,90–100%,40,36,0.9375,0.9,0.7694822477247771,0.9604204713173936
all_candidates,gpt-5.4-nano,1,Quant-100,0,0–10%,2,0,0.030000000000000002,0.0,0.0,0.6576197724933469
all_candidates,gpt-5.4-nano,1,Quant-100,1,10–20%,7,0,0.1457142857142857,0.0,5.551115123125783e-17,0.35433043506668743
all_candidates,gpt-5.4-nano,1,Quant-100,2,20–30%,3,1,0.22333333333333336,0.3333333333333333,0.06149194472039621,0.7923403991979522
all_candidates,gpt-5.4-nano,1,Quant-100,3,30–40%,2,1,0.355,0.5,0.09453120573423074,0.9054687942657693
